,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
263,601398.SH,20230208,4.0346,4.044,4.0252,4.0346,4.29,-0.25539999999999985,-5.9534,1294928.29,556550.72
264,601398.SH,20230207,4.0252,4.044,4.0158,4.0252,4.29,-0.26480000000000015,-6.1725,1583521.42,680140.869
265,601398.SH,20230206,4.0346,4.0346,4.0158,4.0252,4.3,-0.27479999999999993,-6.3907,2162137.5,926939.859
266,601398.SH,20230203,4.0346,4.044,4.0252,4.0346,4.3,-0.26539999999999964,-6.1721,1974191.01,848654.204
267,601398.SH,20230202,4.0534,4.0534,4.0346,4.0346,4.31,-0.2753999999999994,-6.3898,2020736.28,870185.102
268,601398.SH,20230201,4.0534,4.0628,4.0346,4.044,4.32,-0.2760000000000007,-6.3889,1729252.59,745664.75
269,601398.SH,20230131,4.0534,4.0628,4.044,4.0534,4.32,-0.2666000000000004,-6.1713,1687635.24,729242.573
270,601398.SH,20230130,4.0721,4.0815,4.044,4.0534,4.33,-0.2766000000000002,-6.388,2451083.79,1060660.579
271,601398.SH,20230120,4.0628,4.0721,4.0534,4.0628,4.33,-0.2671999999999999,-6.1709,1423233.56,615310.375
272,601398.SH,20230119,4.0628,4.0721,4.044,4.0628,4.34,-0.27719999999999967,-6.3871,1311153.98,566876.473
273,601398.SH,20230118,4.0628,4.0815,4.0628,4.0721,4.33,-0.25790000000000024,-5.9561,1290402.2,559746.084
274,601398.SH,20230117,4.0721,4.0815,4.044,4.0628,4.34,-0.27719999999999967,-6.3871,1348396.46,583427.985
275,601398.SH,20230116,4.0721,4.0909,4.0628,4.0721,4.34,-0.2679,-6.1728,2239500.53,972719.257
276,601398.SH,20230113,4.0346,4.0721,4.0346,4.0721,4.3,-0.2279,-5.3,1310556.43,566908.49
277,601398.SH,20230112,4.044,4.0534,4.0252,4.0346,4.31,-0.2753999999999994,-6.3898,1095530.61,471371.597
278,601398.SH,20230111,4.0346,4.0534,4.0252,4.044,4.3,-0.2560000000000002,-5.9535,1349496.38,581583.428
279,601398.SH,20230110,4.0721,4.0721,4.0346,4.0346,4.33,-0.2953999999999999,-6.8222,1751258.73,755033.29
280,601398.SH,20230109,4.0815,4.0909,4.0628,4.0628,4.34,-0.27719999999999967,-6.3871,1666791.6,723302.384
281,601398.SH,20230106,4.0628,4.0815,4.044,4.0721,4.33,-0.25790000000000024,-5.9561,1687138.02,731034.157
282,601398.SH,20230105,4.0909,4.1097,4.0628,4.0628,4.36,-0.29720000000000013,-6.8165,2017797.78,877204.366
283,601398.SH,20230104,4.0534,4.0909,4.044,4.0909,4.31,-0.21909999999999918,-5.0835,2351477.35,1022070.423
284,601398.SH,20230103,4.0721,4.0721,4.0346,4.044,4.34,-0.29600000000000026,-6.8203,2428809.7,1047725.002
285,601398.SH,20221230,4.044,4.0815,4.0346,4.0721,4.3,-0.2279,-5.3,2983386.66,1293431.442
286,601398.SH,20221229,4.044,4.0534,3.9971,4.0346,4.32,-0.2854000000000001,-6.6065,1885665.53,809605.996
287,601398.SH,20221228,4.0346,4.0628,4.0252,4.0534,4.3,-0.24659999999999993,-5.7349,1755915.54,757611.069
288,601398.SH,20221227,4.0065,4.044,3.9971,4.0346,4.26,-0.2253999999999996,-5.2911,1849633.29,793633.877
289,601398.SH,20221226,3.9971,4.0158,3.9783,3.9971,4.25,-0.2528999999999999,-5.9506,1470701.24,626352.011
290,601398.SH,20221223,4.0065,4.0065,3.9877,3.9877,4.27,-0.2822999999999998,-6.6112,904597.86,385322.879
291,601398.SH,20221222,3.9971,4.0158,3.9877,4.0065,4.25,-0.24350000000000005,-5.7294,1296888.69,553757.271
292,601398.SH,20221221,3.9689,3.9971,3.9689,3.9877,4.23,-0.24230000000000063,-5.7281,1188930.37,504895.105
293,601398.SH,20221220,3.9877,4.0065,3.9689,3.9689,4.26,-0.2910999999999997,-6.8333,1769707.42,751668.831
294,601398.SH,20221219,4.0158,4.044,3.9877,3.9971,4.29,-0.29289999999999994,-6.8275,1647837.22,704842.464
295,601398.SH,20221216,3.9971,4.0252,3.9783,4.0252,4.26,-0.2347999999999999,-5.5117,1982171.66,846358.171
296,601398.SH,20221215,4.0158,4.0252,3.9877,3.9971,4.29,-0.29289999999999994,-6.8275,1793039.37,763572.928
297,601398.SH,20221214,4.0346,4.044,4.0065,4.0252,4.3,-0.27479999999999993,-6.3907,1975053.51,845926.525
298,601398.SH,20221213,4.0158,4.044,4.0065,4.0346,4.27,-0.2353999999999994,-5.5129,1640735.77,704235.151
299,601398.SH,20221212,4.0346,4.0346,4.0065,4.0065,4.3,-0.29349999999999987,-6.8256,1967081.31,843407.173
300,601398.SH,20221209,4.0346,4.0534,4.0252,4.0346,4.3,-0.26539999999999964,-6.1721,2564903.65,1103145.219
301,601398.SH,20221208,4.0252,4.044,4.0158,4.0346,4.29,-0.25539999999999985,-5.9534,1966006.46,845283.418
302,601398.SH,20221207,4.044,4.0534,4.0158,4.0252,4.31,-0.2847999999999997,-6.6079,2223357.63,956706.139
303,601398.SH,20221206,4.0346,4.0534,4.0252,4.044,4.3,-0.2560000000000002,-5.9535,2597515.49,1117747.056
304,601398.SH,20221205,3.9971,4.0534,3.9877,4.0346,4.24,-0.20540000000000003,-4.8443,3497316.92,1499555.627
305,601398.SH,20221202,3.9877,3.9971,3.9689,3.9783,4.25,-0.27170000000000005,-6.3929,1998981.23,848573.118
306,601398.SH,20221201,4.0534,4.0628,3.9783,3.9877,4.3,-0.3123,-7.2628,3527083.71,1508271.593
307,601398.SH,20221130,4.0346,4.0628,4.0158,4.0346,4.32,-0.2854000000000001,-6.6065,3121823.07,1342258.893
308,601398.SH,20221129,3.9877,4.0721,3.9783,4.0534,4.24,-0.18660000000000032,-4.4009,4116956.33,1769804.553
309,601398.SH,20221128,4.0252,4.0346,3.9596,3.9783,4.32,-0.34170000000000034,-7.9097,2927271.24,1241390.938
310,601398.SH,20221125,3.9877,4.0628,3.9877,4.0534,4.25,-0.1966000000000001,-4.6259,3698254.16,1591516.138
311,601398.SH,20221124,4.0065,4.0158,3.9783,3.9877,4.26,-0.2723,-6.392,1413653.86,602139.323
312,601398.SH,20221123,3.9689,4.0252,3.9596,3.9971,4.23,-0.23290000000000033,-5.5059,3210906.57,1369621.339
313,601398.SH,20221122,3.922,3.9877,3.9126,3.9689,4.18,-0.21109999999999962,-5.0502,2702553.18,1140835.266
314,601398.SH,20221121,3.9126,3.9314,3.8939,3.922,4.17,-0.24799999999999978,-5.9472,1805231.96,753341.792
315,601398.SH,20221118,3.9126,3.9314,3.9033,3.9126,4.17,-0.2574000000000001,-6.1727,1785481.49,745303.163
316,601398.SH,20221117,3.9033,3.9126,3.8845,3.9126,4.16,-0.2474000000000003,-5.9471,1681716.59,698816.838
317,601398.SH,20221116,3.9126,3.922,3.9033,3.9033,4.17,-0.2666999999999997,-6.3957,1132770.31,472113.067
318,601398.SH,20221115,3.9033,3.922,3.8939,3.9126,4.15,-0.2374000000000005,-5.7205,1564140.1,651544.034
319,601398.SH,20221114,3.9033,3.9314,3.8939,3.8939,4.15,-0.25610000000000044,-6.1711,2708150.58,1129702.478
320,601398.SH,20221111,3.8657,3.9033,3.8563,3.8939,4.11,-0.2161000000000004,-5.2579,2768352.88,1144895.641
321,601398.SH,20221110,3.8376,3.8563,3.8282,3.8563,4.1,-0.24369999999999958,-5.9439,1423974.57,582648.249
322,601398.SH,20221109,3.8376,3.8563,3.8282,3.847,4.09,-0.24299999999999988,-5.9413,1368752.57,560691.18
